tree_file_name;leaf_dist;agree_with_etalon
Puzzle_filtered//PF00270_14.tre;"10;10;10;11;11;8;8;8;8;8;7;6;6;6;8;8;9;9;9;9;6;6;5;5;5;5;2;1;1;1";"None";51.0
Puzzle_filtered//PF00270_14.tre;"10;9;9;10;10;7;7;7;7;7;6;5;5;5;7;7;8;8;8;8;5;5;4;4;4;4;1;1;2;2";"8;4;4;4;4;2;2;2;1;3;3;9;9;8;7;7;7;6;6;5;6;6;4;5;8;8;7;8;8;8";31.9
Puzzle_filtered//PF00270_14.tre;"9;8;8;9;9;6;6;6;6;6;5;4;4;4;6;6;7;7;7;7;4;4;3;3;3;3;1;2;3;3";"None";35.3
Puzzle_filtered//PF00270_14.tre;"8;7;7;8;8;5;5;5;5;5;4;3;3;3;5;5;6;6;6;6;3;3;3;3;3;3;2;3;4;4";"7;4;4;4;4;2;3;3;2;2;2;8;8;7;6;6;6;5;5;4;5;5;3;4;7;7;6;7;7;7";63.1
Puzzle_filtered//PF00270_14.tre;"9;6;6;7;7;4;4;4;4;4;3;2;2;3;5;5;6;6;6;6;3;3;4;4;4;4;3;4;5;5";"None";36.3
Puzzle_filtered//PF00270_14.tre;"8;5;5;6;6;3;3;3;3;3;2;2;2;4;6;6;7;7;7;7;4;4;5;5;5;5;4;5;6;6";"6;6;6;6;6;4;5;5;4;3;3;6;6;5;4;4;4;3;3;2;3;3;2;3;6;6;5;6;6;6";72.2
Puzzle_filtered//PF00270_14.tre;"7;4;4;5;5;2;2;2;3;3;2;3;3;5;7;7;8;8;8;8;5;5;6;6;6;6;5;6;7;7";"7;7;7;7;7;5;6;6;5;4;4;5;5;4;3;3;3;2;2;2;3;3;3;4;7;7;6;7;7;7";92.9
Puzzle_filtered//PF00270_14.tre;"7;3;3;4;4;1;2;2;4;4;3;4;4;6;8;8;9;9;9;9;6;6;7;7;7;7;6;7;8;8";"8;8;8;8;8;6;7;7;6;5;5;4;4;3;2;2;2;2;2;3;4;4;4;5;8;8;7;8;8;8";95.4
Puzzle_filtered//PF00270_14.tre;"6;2;2;3;3;1;3;3;5;5;4;5;5;7;9;9;10;10;10;10;7;7;8;8;8;8;7;8;9;9";"None";46.9
Puzzle_filtered//PF00270_14.tre;"11;1;2;3;3;2;4;4;6;6;5;6;6;8;10;10;11;11;11;11;8;8;9;9;9;9;8;9;10;10";"None";92.8
Puzzle_filtered//PF00270_14.tre;"10;2;1;2;2;2;4;4;6;6;5;6;6;8;10;10;11;11;11;11;8;8;9;9;9;9;8;9;10;10";"None";48.6
Puzzle_filtered//PF00270_14.tre;"9;3;1;1;1;3;5;5;7;7;6;7;7;9;11;11;12;12;12;12;9;9;10;10;10;10;9;10;11;11";"None";37.1
Puzzle_filtered//PF00270_14.tre;"9;4;4;5;5;2;1;1;4;4;3;4;4;6;8;8;9;9;9;9;6;6;7;7;7;7;6;7;8;8";"8;8;8;8;8;6;7;7;6;5;5;5;5;4;3;3;3;1;1;3;4;4;4;5;8;8;7;8;8;8";99.6
Puzzle_filtered//PF00270_14.tre;"8;5;5;6;6;3;3;3;2;2;1;3;3;5;7;7;8;8;8;8;5;5;6;6;6;6;5;6;7;7";"7;7;7;7;7;5;6;6;5;4;4;6;6;5;4;4;4;3;3;1;2;2;3;4;7;7;6;7;7;7";90.9
Puzzle_filtered//PF00270_14.tre;"8;6;6;7;7;4;4;4;1;1;1;4;4;6;8;8;9;9;9;9;6;6;7;7;7;7;6;7;8;8";"8;8;8;8;8;6;7;7;6;5;5;7;7;6;5;5;5;4;4;1;1;1;4;5;8;8;7;8;8;8";67.9
Puzzle_filtered//PF00270_14.tre;"7;6;6;7;7;4;4;4;4;4;3;1;1;4;6;6;7;7;7;7;4;4;5;5;5;5;4;5;6;6";"7;5;5;5;5;3;4;4;3;1;1;8;8;7;6;6;6;5;5;4;5;5;3;4;7;7;6;7;7;7";99.7
Puzzle_filtered//PF00270_14.tre;"8;7;7;8;8;5;5;5;5;5;4;3;3;2;4;4;5;5;5;5;2;2;4;4;4;4;3;4;5;5";"5;6;6;6;6;4;5;5;4;3;3;7;7;6;5;5;5;4;4;3;4;4;1;2;5;5;4;5;5;5";44.4
Puzzle_filtered//PF00270_14.tre;"7;8;8;9;9;6;6;6;6;6;5;4;4;1;3;3;4;4;4;4;2;2;5;5;5;5;4;5;6;6";"3;8;8;8;8;6;7;7;6;5;5;9;9;8;7;7;7;6;6;5;6;6;2;1;3;3;2;3;3;3";38.1
Puzzle_filtered//PF00270_14.tre;"6;9;9;10;10;7;7;7;7;7;6;5;5;1;2;2;3;3;3;3;3;3;6;6;6;6;5;6;7;7";"None";21.3
Puzzle_filtered//PF00270_14.tre;"5;10;10;11;11;8;8;8;8;8;7;6;6;2;1;1;3;3;3;3;4;4;7;7;7;7;6;7;8;8";"None";50.7
Puzzle_filtered//PF00270_14.tre;"4;10;10;11;11;8;8;8;8;8;7;6;6;2;2;2;2;2;2;2;4;4;7;7;7;7;6;7;8;8";"None";26.7
Puzzle_filtered//PF00270_14.tre;"3;11;11;12;12;9;9;9;9;9;8;7;7;3;3;3;1;1;2;2;5;5;8;8;8;8;7;8;9;9";"2;10;10;10;10;8;9;9;8;7;7;11;11;10;9;9;9;8;8;7;8;8;4;3;4;4;3;1;1;2";52.9
Puzzle_filtered//PF00270_14.tre;"4;11;11;12;12;9;9;9;9;9;8;7;7;3;3;3;2;2;1;1;5;5;8;8;8;8;7;8;9;9";"4;10;10;10;10;8;9;9;8;7;7;11;11;10;9;9;9;8;8;7;8;8;4;3;1;1;1;4;4;4";93.8
Puzzle_filtered//PF00270_14.tre;"3;8;8;9;9;6;6;6;6;6;5;4;4;2;4;4;5;5;5;5;1;1;5;5;5;5;4;5;6;6";"None";91.2
Puzzle_filtered//PF00270_14.tre;"2;8;8;9;9;6;6;6;6;6;5;4;4;4;6;6;7;7;7;7;4;4;2;2;2;2;2;3;4;4";"9;2;2;2;2;1;4;4;3;4;4;10;10;9;8;8;8;7;7;6;7;7;5;6;9;9;8;9;9;9";67.8
Puzzle_filtered//PF00270_14.tre;"2;9;9;10;10;7;7;7;7;7;6;5;5;5;7;7;8;8;8;8;5;5;1;1;2;2;3;4;5;5";"10;1;1;2;2;2;5;5;4;5;5;11;11;10;9;9;9;8;8;7;8;8;6;7;10;10;9;10;10;10";90.0
Puzzle_filtered//PF00270_14.tre;"1;9;9;10;10;7;7;7;7;7;6;5;5;5;7;7;8;8;8;8;5;5;2;2;1;1;3;4;5;5";"10;2;2;1;1;2;5;5;4;5;5;11;11;10;9;9;9;8;8;7;8;8;6;7;10;10;9;10;10;10";90.4
Puzzle_filtered//PF04116_1.tre;"9;10;10;10;10;12;12;11;9;7;7;7;5;7;8;9;9;8;8;7;5;3;5;5;5;5;3;1;1;1";"None";70.1
Puzzle_filtered//PF04116_1.tre;"9;9;9;9;9;11;11;10;8;6;6;6;4;6;7;8;8;7;7;6;4;2;4;4;4;4;2;1;2;2";"9;8;8;8;8;6;7;7;6;5;5;4;3;2;2;2;1;2;4;5;5;5;6;9;9;9;9;9;9;9";68.8
Puzzle_filtered//PF04116_1.tre;"8;8;8;8;8;10;10;9;7;5;5;5;3;5;6;7;7;6;6;5;3;1;4;4;4;4;2;2;3;3";"8;7;7;7;7;5;6;6;5;5;5;4;3;2;3;3;2;1;3;4;4;4;5;8;8;8;8;8;8;8";95.5
