tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"2;8;8;7;7;7;5;5;5;5;5;4;2;1;1";"None";26.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"1;7;7;6;6;6;4;4;4;4;4;3;1;1;2";"None";24.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"6;6;6;5;5;5;3;3;3;3;3;2;1;2;3";"1;3;3;2;6;6;5;5;5;3;3;3;3;3;2";45.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"5;5;5;4;4;4;2;2;2;3;3;2;2;3;4";"2;4;4;3;5;5;4;4;4;2;2;2;3;3;2";36.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"5;4;4;3;3;3;1;2;2;4;4;3;3;4;5";"3;5;5;4;4;4;3;3;3;1;2;2;4;4;3";24.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"4;3;3;2;2;2;1;3;3;5;5;4;4;5;6";"4;6;6;5;3;3;2;2;2;1;3;3;5;5;4";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"3;2;2;1;2;2;2;4;4;6;6;5;5;6;7";"5;7;7;6;2;2;1;2;2;2;4;4;6;6;5";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"3;1;1;1;3;3;3;5;5;7;7;6;6;7;8";"None";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"2;3;3;2;1;1;2;4;4;6;6;5;5;6;7";"5;7;7;6;3;3;2;1;1;2;4;4;6;6;5";28.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"1;5;5;4;4;4;2;1;1;4;4;3;3;4;5";"3;5;5;4;5;5;4;4;4;2;1;1;4;4;3";28.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"3;6;6;5;5;5;3;3;3;2;2;1;2;3;4";"2;4;4;3;6;6;5;5;5;3;3;3;2;2;1";45.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00270_14.tre;"2;7;7;6;6;6;4;4;4;1;1;1;3;4;5";"3;5;5;4;7;7;6;6;6;4;4;4;1;1;1";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"2;8;7;7;7;5;7;7;6;5;3;2;1;1;1";"7;9;9;8;7;7;1;1;1;2;3;5;5;6;6";41.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF04116_1.tre;"1;7;6;6;6;4;6;6;5;4;2;1;1;2;2";"6;8;8;7;6;6;2;2;1;1;2;4;4;5;5";46.0
