tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"6;7;7;7;5;4;3;4;4;3;3;3;2;1;1";"6;1;1;1;2;4;5;5;4;5;9;9;9;9;7";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"5;6;6;6;4;3;2;3;3;2;3;3;2;2;2";"None";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"4;5;5;5;3;2;1;3;3;2;4;4;3;3;3";"2;5;5;4;3;3;4;4;1;1;5;5;5;5;3";14.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"5;4;4;4;2;1;1;4;4;3;5;5;4;4;4";"1;6;6;5;4;4;5;5;2;1;4;4;4;4;2";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"4;3;3;3;1;1;2;5;5;4;6;6;5;5;5";"1;7;7;6;5;5;6;6;3;2;3;3;3;3;1";36.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"3;2;2;2;1;2;3;6;6;5;7;7;6;6;6";"2;8;8;7;6;6;7;7;4;3;2;2;2;2;1";37.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"2;1;2;2;2;3;4;7;7;6;8;8;7;7;7";"3;9;9;8;7;7;8;8;5;4;1;1;2;2;2";28.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"1;2;1;1;2;3;4;7;7;6;8;8;7;7;7";"3;9;9;8;7;7;8;8;5;4;2;2;1;1;2";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"3;6;6;6;4;3;2;2;2;1;4;4;3;3;3";"4;4;4;3;2;1;2;2;2;3;7;7;7;7;5";39.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"3;7;7;7;5;4;3;1;1;1;5;5;4;4;4";"5;5;5;4;3;1;1;1;3;4;8;8;8;8;6";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"2;7;7;7;5;4;3;4;4;3;2;2;1;2;2";"None";36.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05000_1.tre;"1;8;8;8;6;5;4;5;5;4;1;1;1;3;3";"None";25.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"5;5;5;5;5;6;6;7;7;7;7;4;2;1;1";"5;1;1;1;2;5;5;5;5;4;8;8;8;8;6";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"4;4;4;4;4;5;5;6;6;6;6;3;1;1;2";"4;2;2;1;1;4;4;4;4;3;7;7;7;7;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"3;3;3;3;3;4;4;5;5;5;5;2;1;2;3";"3;3;3;2;1;3;3;3;3;2;6;6;6;6;4";31.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"4;2;2;2;2;4;4;5;5;5;5;2;2;3;4";"3;4;4;3;2;2;2;2;2;2;6;6;6;6;4";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"4;1;1;2;2;5;5;6;6;6;6;3;3;4;5";"4;5;5;4;3;2;2;1;1;3;7;7;7;7;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"3;2;2;1;1;5;5;6;6;6;6;3;3;4;5";"4;5;5;4;3;1;1;2;2;3;7;7;7;7;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"2;3;3;3;3;3;3;4;4;4;4;1;2;3;4";"2;4;4;3;2;3;3;3;3;1;5;5;5;5;3";45.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"1;4;4;4;4;2;2;3;3;3;3;1;3;4;5";"1;5;5;4;3;4;4;4;4;1;4;4;4;4;2";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"3;5;5;5;5;1;1;3;3;3;3;2;4;5;6";"None";34.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"3;5;5;5;5;2;2;2;2;2;2;2;4;5;6";"2;7;7;6;5;6;6;6;6;3;2;2;2;2;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"2;6;6;6;6;3;3;1;1;2;2;3;5;6;7";"3;8;8;7;6;7;7;7;7;4;2;2;1;1;2";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF09731_1.tre;"1;6;6;6;6;3;3;2;2;1;1;3;5;6;7";"3;8;8;7;6;7;7;7;7;4;1;1;2;2;2";50.0
